gene	location	gene_id	filename
PTGS2	1q25.2-q25.3	5743	PTGS2.htm
TFF2	21q22.3	7032	TFF2.htm
IGF2	11p15.5	3481	IGF2.htm
TDGF1	3p21.31	6997	TDGF1.htm
WT1	11p13	7490	WT1.htm
CYP2B6	19q13.2	1555	CYP2B.htm
CDK4	12q14	1019	CDK4.htm
IL1RL1	2q12	9173	IL1RL1.htm
TNFSF10	3q26	8743	TNFSF10.htm
AKR1B10	7q33	57016	AKR1B10.htm
BIRC5	17q25	332	BIRC5.htm
RB1	13q14.2	5925	RB1.htm
NF1	17q11.2	4763	NF1.htm
PLAU	10q22.2	5328	PLAU.htm
KRT20	17q21.2	54474	KRT20.htm
RTEL1	20q13.3	51750	RTEL1.htm
TSC1	9q34	7248	TSC1.htm
HNF4A	20q13.12	3172	HNF4A.htm
CASP8	2q33-q34	841	CASP8.htm
CDKN2B	9p21	1030	CDKN2B.htm
KLK3	19q13.41	354	KLK3.htm
IFNA2	9p22	3440	IFNA2.htm
IFNA17	9p22	3451	IFNA17.htm
RFC1	4p14-p13	5981	RFC1.htm
MGMT	10q26	4255	MGMT.htm
FH	1q42.1	2271	FH.htm
MYCN	2p24.3	4613	MYCN.htm
RELA	11q13	5970	RELA.htm
TSC2	16p13.3	7249	TSC2.htm
MIB1	18q11.2	57534	MIB1.htm
PLAT	8p12	5327	PLAT.htm
CEACAM5	19q13.1-q13.2	1048	CEACAM5.htm
IL4	5q31.1	3565	IL4.htm
VEGFA	6p12	7422	VEGF.htm
RARA	17q21	5914	RARA.htm
IFNA7	9p22	3444	IFNA7.htm
PDGFRB	5q33.1	5159	PDGFRB.htm
IL2RA	10p15-p14	3559	IL2RA.htm
HOXA10	7p15.2	3206	HOXA10.htm
PML	15q22	5371	PML.htm
GSTP1	11q13	2950	GSTP1.htm
HLA-A	6p21.3	3105	HLA-A.htm
CD36	7q11.2	948	CD36.htm
CYP1A1	15q24.1	1543	CYP1A1.htm
FLT3	13q12	2322	FLT3.htm
CD44	11p13	960	CD44.htm
FOXG1	14q13	2290	FOXG1.htm
BCHE	3q26.1-q26.2	590	BCHE.htm
REG1A	2p12	5967	REG1A.htm
MUC1	1q21	4582	MUC1.htm
NR3C1	5q31.3	2908	NR3C1.htm
HRAS	11p15.5	3265	HRAS.htm
HCCS	Xp22.3	3052	HCCS.htm
ALK	2p23	238	ALK.htm
TGFB1	19q13.1	7040	TGFB1.htm
GSTM1	1p13.3	2944	GSTM1.htm
FASLG	1q23	356	FASLG.htm
IGF1R	15q26.3	3480	IGF1R.htm
NCAM1	11q23.1	4684	NCAM1.htm
HGF	7q21.1	3082	HGF.htm
MST1	3p21	4485	MST1.htm
MEN1	11q13	4221	MEN1.htm
CD80	3q13.3-q21	941	CD80.htm
ASXL1	20q11	171023	ASXL1.htm
SOD1	21q22.11	6647	SOD1.htm
CD19	16p11.2	930	CD19.htm
CYP19A1	15q21.1	1588	CYP19A1.htm
SF3B1	2q33.1	23451	SF3B1.htm
KRT8	12q13	3856	KRT8.htm
CCNE1	19q12	898	CCNE1.htm
TYMS	18p11.32	7298	TYMS.htm
RUNX1T1	8q22	862	CBFA2T1.htm
CASP9	1p36.21	842	CASP9.htm
BTG2	1q32	7832	BTG2.htm
CDK1	10q21.1	983	CDK1.htm
VHL	3p25.3	7428	VHL.htm
TERT	5p15.33	7015	TERT.htm
S100A9	1q21	6280	S100A9.htm
ABCC1	16p13.1	4363	MRP.htm
NBL1	1p36.13	4681	NBL1.htm
MME	3q25.2	4311	MME.htm
E2F1	20q11.2	1869	E2F1.htm
CEACAM3	19q13.2	1084	CEACAM3.htm
CEACAM7	19q13.2	1087	CEACAM7.htm
PDGFRA	4q12	5156	PDGFRA.htm
PPARG	3p25	5468	PPARG.htm
POLD1	19q13.3	5424	POLD1.htm
SOS1	2p21	6654	SOS1.htm
RASSF1	3p21.3	11186	RASSF1.htm
NOS2	17q11.2	4843	NOS2.htm
CREB1	2q34	1385	CREB1.htm
POMC	2p23.3	5443	POMC.htm
CDK2	12q13	1017	CDK2.htm
ACHE	7q22	43	ACHE.htm
TGFA	2p13	7039	TGFA.htm
SNAI1	20q13.2	6615	SNAI1.htm
COL18A1	21q22.3	80781	COL18A1.htm
EWSR1	22q12.2	2130	EWSR1.htm
SMAD4	18q21.1	4089	MADH4.htm
EIF4E	4q23	1977	EIF4E.htm
TP73	1p36.3	7161	TP73.htm
TOP1	20q12-q13.1	7150	TOP1.htm
SERPINE1	7q22.1	5054	SERPINE1.htm
CDH1	16q22.1	999	CDH1.htm
RAF1	3p25	5894	RAF1.htm
CCNB1	5q12	891	CCNB1.htm
KRIT1	7q21.2	889	KRIT1.htm
MECP2	Xq28	4204	MECP2.htm
CXCR4	2q21	7852	CXCR4.htm
IRF6	1q32.3-q41	3664	IRF6.htm
FANCE	6p22-p21	2178	FANCE.htm
ELAVL1	19p13.2	1994	ELAVL1.htm
GSTT1	22q11.23	2952	GSTT1.htm
ERG	21q22.3	2078	ERG.htm
NPM1	5q35.1	4869	NPM1.htm
PITX2	4q25	5308	PITX2.htm
NOTCH1	9q34.3	4851	NOTCH1.htm
NF2	22q12.2	4771	NF2.htm
TOP2A	17q21-q22	7153	TOP2A.htm
MTHFR	1p36.3	4524	MTHFR.htm
PDLIM4	5q31.1	8572	PDLIM4.htm
CD200	3q13.2	4345	CD200.htm
MIR21	17q23.1	406991	MIR21.htm
ESR2	14q23.2	2100	ESR2.htm
IL6R	1q21	3570	IL6R.htm
TNFRSF8	1p36	943	TNFRSF8.htm
CYP27B1	12q14.1	1594	CYP27B1.htm
TLR4	9q33.1	7099	TLR4.htm
FHIT	3p14.2	2272	FHIT.htm
NEUROD1	2q32	4760	NEUROD1.htm
S100A8	1q21	6279	S100A8.htm
ATG5	6q21	9474	ATG5.htm
CD38	4p15	952	CD38.htm
POU5F1	6p21.31	5460	POU5F1.htm
BAD	11q13.1	572	BAD.htm
ERCC2	19q13.3	2068	ERCC2.htm
TCF7L1	2p11.2	83439	TCF7L1.htm
SERPINB2	18q21.3	5055	SERPINB2.htm
JAK2	9p24	3717	JAK2.htm
NGFR	17q21-q22	4804	NGFR.htm
CKAP4	12q23.3	10970	CKAP4.htm
BCL6	3q27	604	BCL6.htm
ICAM1	19p13.3-p13.2	3383	ICAM1.htm
MSH6	2p16	2956	MSH6.htm
AURKA	20q13	6790	AURKA.htm
STAT5A	17q11.2	6776	STAT5A.htm
EP300	22q13.2	2033	EP300.htm
PECAM1	17q23.3	5175	PECAM1.htm
PTPRC	1q31-q32	5788	PTPRC.htm
STAT1	2q32.2	6772	STAT1.htm
JAG1	20p12.1-p11.23	182	JAG1.htm
PTK2	8q24.3	5747	PTK2.htm
RPS6	9p21	6194	RPS6.htm
STAT5B	17q11.2	6777	STAT5B.htm
NME1	17q21.3	4830	NME1.htm
CASR	3q13	846	CASR.htm
BAG3	10q25.2-q26.2	9531	BAG3.htm
SS18L1	20q13.3	26039	SS18L1.htm
MSH3	5q11-q12	4437	MSH3.htm
AKT1	14q32.32	207	AKT1.htm
ENDOU	12q13.1	8909	ENDOU.htm
NBN	8q21	4683	NBS1.htm
ETV6	12p13	2120	ETV6.htm
GAPDH	12p13	2597	GAPDH.htm
DCC	18q21.3	1630	DCC.htm
ERCC1	19q13.32	2067	ERCC1.htm
HSP90AA1	14q32.33	3320	HSPCA.htm
ASIP	20q11.2-q12	434	ASIP.htm
ERBB3	12q13	2065	ERBB3.htm
TFF1	21q22.3	7031	TFF1.htm
ITGB3	17q21.32	3690	ITGB3.htm
PRB1	12p13.2	5542	PRB1.htm
FGF2	4q26	2247	FGF2.htm
CD46	1q32	4179	CD46.htm
SPINT2	19q13.1	10653	SPINT2.htm
CFTR	7q31.2	1080	CFTR.htm
FGFR1	8p11.23-p11.22	2260	FGFR1.htm
AFP	4q13.3	174	AFP.htm
TYRP1	9p23	7306	TYRP1.htm
EGR1	5q31.1	1958	EGR1.htm
XIAP	Xq25	331	XIAP.htm
TSPO	22q13.31	706	TSPO.htm
S100A4	1q21	6275	S100A4.htm
GLI1	12q13.2-q13.3	2735	GLI.htm
CD79A	19q13.2	973	CD79A.htm
RAB8A	19p13.1	4218	RAB8A.htm
MAP2K1	15q22.1-q22.33	5604	MAP2K1.htm
RRM2	2p25-p24	6241	RRM2.htm
STIM1	11p15.5	6786	STIM1.htm
TRIM13	13q14	10206	TRIM13.htm
CEBPA	19q13.1	1050	CEBPA.htm
CXADR	21q21.1	1525	CXADR.htm
NAT2	8p22	10	NAT2.htm
MDM4	1q32	4194	MDM4.htm
RRM1	11p15.5	6240	RRM1.htm
PRKCA	17q22-q23.2	5578	PRKCA.htm
MMP1	11q22.3	4312	MMP1.htm
RHOA	3p21.3	387	ARHA.htm
CHEK2	22q12.1	11200	CHEK2.htm
CXCL12	10q11.1	6387	CXCL12.htm
GATA4	8p23.1-p22	2626	GATA4.htm
TRAF2	9q34	7186	TRAF2.htm
TGFBR2	3p22	7048	TGFBR2.htm
HFE	6p21.3	3077	HFE.htm
ARID1A	1p35.3	8289	ARID1A.htm
ANXA8	10q11.22	653145	ANXA8.htm
PDGFB	22q13.1	5155	PDGFB.htm
EZH2	7q35-q36	2146	EZH2.htm
CHUK	10q24-q25	1147	CHUK.htm
ABCG2	4q22	9429	ABCG2.htm
BCL2L11	2q13	10018	BCL2L11.htm
POSTN	13q13.3	10631	POSTN.htm
CCL2	17q11.2-q12	6347	CCL2.htm
ERCC3	2q21	2071	ERCC3.htm
ITGAM	16p11.2	3684	ITGAM.htm
IKBKB	8p11.2	3551	IKBKB.htm
TCF4	18q21.1	6925	TCF4.htm
NFE2L2	2q31	4780	NFE2L2.htm
TCF7L2	10q25.3	6934	TCF7L2.htm
STK11	19p13.3	6794	STK11.htm
DAPK1	9q21.33	1612	DAPK1.htm
PDX1	13q12.1	3651	PDX1.htm
SDC1	2p24.1	6382	SDC1.htm
SMAD2	18q21.1	4087	SMAD2.htm
TTPA	8q12.3	7274	TTPA.htm
CDK6	7q21-q22	1021	CDK6.htm
PSEN2	1q42.13	5664	PSEN2.htm
IDH1	2q33.3	3417	IDH1.htm
CSE1L	20q13	1434	CSE1L.htm
PLAUR	19q13	5329	PLAUR.htm
CD47	3q13.1-q13.2	961	CD47.htm
SOX2	3q26.3-q27	6657	SOX2.htm
RAC1	7p22	5879	RAC1.htm
RAD51	15q15.1	5888	RAD51.htm
SMAD3	15q22.33	4088	SMAD3.htm
FLI1	11q24.1-q24.3	2313	FLI1.htm
MMP14	14q11.2	4323	MMP14.htm
CYLD	16q12.1	1540	CYLD.htm
GATA1	Xp11.23	2623	GATA1.htm
CAV1	7q31.1	857	CAV1.htm
DDIT3	12q13.1-q13.2	1649	DDIT3.htm
SPP1	4q22.1	6696	SPP1.htm
ACCS	11p11	84680	ACCS.htm
SBDS	7q11.21	51119	SBDS.htm
FADD	11q13.3	8772	FADD.htm
BAK1	6p21.3	578	BAK1.htm
SOD2	6q25.3	6648	SOD2.htm
IGFBP3	7p12.3	3486	IGFBP3.htm
MMP7	11q21-q22	4316	MMP7.htm
TRD	14q11.2	6964	TRD.htm
NKX2-1	14q13	7080	NKX2-1.htm
TCF3	19p13.3	6929	TCF3.htm
FANCA	16q24.3	2175	FANCA.htm
H19	11p15.5	283120	H19.htm
ZAP70	2q12	7535	ZAP70.htm
FOXO1	13q14.1	2308	FKHR.htm
CYP1A2	15q24.1	1544	CYP1A2.htm
PMS2	7p22.2	5395	PMS2.htm
REL	2p13-p12	5966	REL.htm
RBPJ	4p15.2	3516	RBPJ.htm
GPER1	7p22.3	2852	GPER.htm
TPM3	1q21.2	7170	TPM3.htm
ETS1	11q23.3	2113	ETS1.htm
FGFR2	10q26	2263	FGFR2.htm
SLC2A1	1p34.2	6513	SLC2A1.htm
FGFR3	4p16.3	2261	FGFR3.htm
MAP3K8	10p11.23	1326	MAP3K8.htm
HMGA2	12q15	8091	HMGA2.htm
SDHB	1p36.1-p35	6390	SDHB.htm
LTA	6p21.3	4049	LTA.htm
PTCH1	9q22.3	5727	PTCH.htm
TWIST1	7p21.2	7291	TWIST1.htm
H2AFX	11q23.3	3014	H2AFX.htm
TNFRSF10A	8p21	8797	TNFRSF10A.htm
HEBP1	12p13.1	50865	HEBP1.htm
MT1G	16q13	4495	MT1G.htm
NTRK1	1q21-q22	4914	NTRK1.htm
EPCAM	2p21	4072	M4S1.htm
CFLAR	2q33-q34	8837	CFLAR.htm
GADD45A	1p31.2	1647	GADD45A.htm
HDAC1	1p34	3065	HDAC1.htm
NR5A1	9q33	2516	NR5A1.htm
CYP1B1	2p22.2	1545	CYP1B1.htm
FLT1	13q12	2321	FLT1.htm
THBS1	15q15	7057	THBS1.htm
NANOG	12p13.31	79923	NANOG.htm
MLLT11	1q21	10962	AF1Q.htm
HLA-B	6p21.3	3106	HLA-B.htm
TIMP1	Xp11.3-p11.23	7076	TIMP1.htm
CYP17A1	10q24.3	1586	CYP17A1.htm
CSF3R	1p35-p34.3	1441	CSF3R.htm
CD33	19q13.3	945	CD33.htm
SNAI2	8q11	6591	SNAI2.htm
CD86	3q21	942	CD86.htm
NQO1	16q22.1	1728	NQO1.htm
CCK	3p22.1	885	CCK.htm
BBC3	19q13.3-q13.4	27113	BBC3.htm
BID	22q11.1	637	BID.htm
FOXM1	12p13	2305	FOXM1.htm
FOXP3	Xp11.23	50943	FOXP3.htm
FUT4	11q21	2526	FUT4.htm
RUNX3	1p36	864	RUNX3.htm
TMPRSS2	21q22.3	7113	TMPRSS2.htm
GAST	17q21	2520	GAST.htm
HPRT1	Xq26.1	3251	HPRT1.htm
TNFSF13	17p13.1	8741	TNFSF13.htm
CD24	6q21	100133941	CD24.htm
SLC5A5	19p13.11	6528	SLC5A5.htm
LOX	5q23.2	4015	LOX.htm
GDNF	5p13.1-p12	2668	GDNF.htm
PTHLH	12p12.1-p11.2	5744	PTHLH.htm
SERPINB5	18q21.33	5268	SERPINB5.htm
ITGB2	21q22.3	3689	ITGB2.htm
CEBPB	20q13.1	1051	CEBPB.htm
MERTK	2q14.1	10461	MERTK.htm
TFAP2C	20q13.2	7022	TFAP2C.htm
MUC2	11p15.5	4583	MUC2.htm
RELB	19q13.32	5971	RELB.htm
FLCN	17p11.2	201163	BHD.htm
FAS	10q24.1	355	TNFRSF6.htm
CD14	5q31.1	929	CD14.htm
CASP1	11q23	834	CASP1.htm
SKP2	5p13	6502	SKP2.htm
CDKN1C	11p15.5	1028	CDKN1C.htm
GFAP	17q21	2670	GFAP.htm
TGFBR1	9q22	7046	TGFBR1.htm
OGG1	3p26.2	4968	OGG1.htm
CYP3A4	7q21.1	1576	CYP3A4.htm
BMI1	10p11.23	648	BMI1.htm
L1CAM	Xq28	3897	L1CAM.htm
ANXA2	15q22.2	302	ANXA2.htm
GJA1	6q22.31	2697	GJA1.htm
GNAS	20q13.3	2778	GNAS.htm
CYP2E1	10q26.3	1571	CYP2E.htm
RUNX2	6p21	860	RUNX2.htm
VEGFC	4q34.3	7424	VEGFC.htm
IL4R	16p12.1-p11.2	3566	IL4R.htm
RBL2	16q12.2	5934	RBL2.htm
DPYD	1p22	1806	DPYD.htm
PRF1	10q22	5551	PRF1.htm
TLR1	4p14	7096	TLR1.htm
ITGB1	10p11.2	3688	ITGB1.htm
KRT7	12q13.13	3855	KRT7.htm
FTCDNL1	2q33.1	348751	FONG.htm
KRT5	12q13.13	3852	KRT5.htm
FOXL2	3q23	668	FOXL2.htm
TFAP2B	6p12	7021	TFAP2B.htm
YWHAE	17p13.3	7531	YWHAE.htm
CD28	2q33	940	CD28.htm
TFPI	2q32	7035	TFPI.htm
HSPB1	7q11.23	3315	HSPB1.htm
HMOX1	22q13.1	3162	HMOX1.htm
TERC	3q26	7012	TERC.htm
CDC25C	5q31	995	CDC25C.htm
CXCL10	4q21	3627	CXCL10.htm
FOXC1	6p25	2296	FOXC1.htm
THRA	17q11.2	7067	THRA.htm
JUND	19p13.2	3727	JUND.htm
GPC3	Xq26.1	2719	GPC3.htm
TAL1	1p32	6886	TAL1.htm
FCGR2A	1q23	2212	FCGR2A.htm
SMARCB1	22q11.23	6598	SMARCB1.htm
HLA-DRB1	6p21.3	3123	HLA-DRB1.htm
FLT4	5q35.3	2324	FLT4.htm
TNFRSF25	1p36.2	8718	TNFRSF25.htm
CDC42	1p36.1	998	CDC42.htm
SDHD	11q23	6392	SDHD.htm
IL7	8q12-q13	3574	IL7.htm
PTPN11	12q24	5781	PTPN11.htm
KRT1	12q13.13	3848	KRT1.htm
STMN1	1p36.11	3925	STMN1.htm
ERC1	12p13.3	23085	ELKS.htm
MVP	16p11.2	9961	MVP.htm
XPC	3p25.1	7508	XPC.htm
MECOM	3q26.2	2122	EVI1.htm
DNMT3B	20q11.2	1789	DNMT3B.htm
MUTYH	1p34.1	4595	MUTYH.htm
SDHC	1q23.3	6391	SDHC.htm
CD1A	1q23.1	909	CD1A.htm
SSX2	Xp11.22	6757	SSX2.htm
XPA	9q22.3	7507	XPA.htm
PIGS	17p13.2	94005	PIGS.htm
DAPK2	15q22.31	23604	DAPK2.htm
SPARC	5q31.3-q32	6678	SPARC.htm
CDX2	13q12.3	1045	CDX2.htm
TYRO3	15q15	7301	TYRO3.htm
IL18	11q22.2-q22.3	3606	IL18.htm
MMP3	11q22.3	4314	MMP3.htm
MUC16	19p13.2	94025	MUC16.htm
CD82	11p11.2	3732	CD82.htm
XRCC3	14q32.3	7517	XRCC3.htm
PRKAR1A	17q24.2	5573	PRKAR1A.htm
SNCG	10q23.2-q23.3	6623	SNCG.htm
ADRB2	5q31-q32	154	ADRB2.htm
FOXC2	16q24.1	2303	FOXC2.htm
AKR1C2	10p15-p14	1646	AKR1C2.htm
PSIP1	9p22.3	11168	PSIP2.htm
CYP2D6	22q13.1	1565	CYP2D6.htm
ZEB1	10p11.2	6935	ZEB1.htm
PAX3	2q35	5077	PAX3.htm
IL13	5q31	3596	IL13.htm
CLTC	17q23.1	1213	CLTC.htm
SMO	7q32.3	6608	SMO.htm
CCND2	12p13	894	CCND2.htm
DICER1	14q32.13	23405	DICER1.htm
AXIN1	16p13.3	8312	AXIN1.htm
KRT19	17q21.2	3880	KRT19.htm
LMNA	1q22	4000	LMNA.htm
SPI1	11p11.2	6688	SPI1.htm
CHEK1	11q24.2	1111	CHEK1.htm
NR0B1	Xp21.3	190	NR0B1.htm
MBL2	10q11.2	4153	MBL2.htm
MCC	5q21	4163	MCC.htm
ARNT	1q21	405	ARNT.htm
KLK2	19q13.41	3817	KLK2.htm
ATP7A	Xq21.1	538	ATP7A.htm
HOXA9	7p15.2	3205	HOXA9.htm
BIRC3	11q22	330	BIRC3.htm
RBM15	1p13	64783	RBM15.htm
TNFSF11	13q14	8600	TNFSF11.htm
NCOA3	20q12	8202	NCOA3.htm
LGALS4	19q13.2	3960	LGALS4.htm
COIL	17q22	8161	COIL.htm
WNT1	12q13	7471	WNT1.htm
THRB	3p24.2	7068	THRB.htm
MOS	8q11	4342	MOS.htm
CDC25A	3p21	993	CDC25A.htm
LEF1	4q23-q25	51176	LEF1.htm
CD68	17p13	968	CD68.htm
IDH2	15q26.1	3418	IDH2.htm
TUSC2	3p21.3	11334	TUSC2.htm
CD99	Xp22.32 and Yp11.3	4267	MIC2.htm
PPP1R13L	19q13.32	10848	PPP1R13L.htm
VIP	6q25	7432	VIP.htm
PIM1	6p21.2	5292	PIM1.htm
MCAM	11q23.3	4162	MCAM.htm
LGALS3	14q22.3	3958	LGALS3.htm
ZNF384	12p12	171017	ZNF384.htm
FCGR3A	1q23	2214	FCGR3A.htm
SS18	18q11.2	6760	SSXT.htm
GHRH	20q11.2	2691	GHRH.htm
KLF4	9q31	9314	KLF4.htm
EIF4EBP1	8p12	1978	EIF4EBP1.htm
EPOR	19p13.3-p13.2	2057	EPOR.htm
KAT5	11q13	10524	KAT5.htm
DNMT3A	2p23	1788	DNMT3A.htm
MSX2	5q35.2	4488	MSX2.htm
FOXO3	6q21	2309	FKHRL1.htm
YAP1	11q13	10413	YAP1.htm
LDLR	19p13.2	3949	LDLR.htm
CRTC1	19p13.11	23373	MECT1.htm
LIF	22q12.2	3976	LIF.htm
ANXA5	4q27	308	ANXA5.htm
DAXX	6p21.3	1616	DAXX.htm
SOCS1	16p13.13	8651	SOCS1.htm
TRA	14q11.2	6955	TRA.htm
IL24	1q32	11009	MDA7.htm
TRPM2	21q22.3	7226	TRPM2.htm
CBL	11q23.3	867	CBL.htm
UGT1A1	2q37	54658	UGT1A1.htm
PPP2CA	5q31.1	5515	PPP2CA.htm
PTGS1	9q32-q33.3	5742	PTGS1.htm
FGF4	11q13.3	2249	FGF4.htm
PPP2CB	8p12	5516	PPP2CB.htm
CASP7	10q25	840	CASP7.htm
ABCC2	10q24	1244	ABCC2.htm
VCAM1	1p32-p31	7412	VCAM1.htm
CCL5	17q12	6352	CCL5.htm
GRB2	17q24-q25	2885	GRB2.htm
HMGA1	6p21	3159	HMGA1.htm
MUC5AC	11p15.5	4586	MUC5AC.htm
NR0B2	1p36.1	8431	NR0B2.htm
ODC1	2p25	4953	ODC1.htm
FGF1	5q31	2246	FGF1.htm
CLU	8p21-p12	1191	CLU.htm
HES1	3q28-q29	3280	HES1.htm
PLK1	16p12.2	5347	PLK1.htm
PMP22	17p12	5376	PMP22.htm
CD1D	1q23.1	912	CD1D.htm
PTTG1	5q35.1	9232	PTTG1.htm
APCS	1q21-q23	325	APCS.htm
IL1A	2q14	3552	IL1A.htm
PMAIP1	18q21.32	5366	PMAIP1.htm
MALT1	18q21	10892	MALT1.htm
SLPI	20q12	6590	SLPI.htm
EIF4A2	3q28	1974	EIF4A2.htm
JAK1	1p32.3-p31.3	3716	JAK1.htm
HLA-DQB1	6p21.3	3119	HLA-DQB1.htm
DMPK	19q13.3	1760	DMPK.htm
HNF1A	12q24.2	6927	TCF1.htm
MYH11	16p13.11	4629	MYH11.htm
IL6ST	5q11.2	3572	IL6ST.htm
PTER	10p12	9317	PTER.htm
PDGFA	7p22	5154	PDGFA.htm
CDH13	16q23.3	1012	CDH13.htm
CDKN2C	1p32	1031	CDKN2C.htm
CTGF	6q23.1	1490	CTGF.htm
IKZF1	7p12.2	10320	IKZF1.htm
SFRP1	8p11.21	6422	SFRP1.htm
TIMP3	22q12.3	7078	TIMP3.htm
RBL1	20q11.2	5933	RBL1.htm
MAGEA3	Xq28	4102	MAGEA3.htm
DROSHA	5p13.3	29102	DROSHA.htm
