"Gene_ID","Gene_Symbol","Gene_Info","biotype","chromosome","band","start","end"
"ENSG00000006071","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","protein_coding","11","11:p15.1",17414432,17498449
"ENSG00000069431","ABCC9","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","protein_coding","12","12:p12.1",21950335,22094336
"ENSG00000101986","ABCD1","ATP-binding cassette, sub-family D (ALD), member 1","protein_coding","X","X:q28",152990323,153010216
"ENSG00000173208","ABCD2","ATP-binding cassette, sub-family D (ALD), member 2","protein_coding","12","12:q12",39943835,40013553
"ENSG00000117528","ABCD3","ATP-binding cassette, sub-family D (ALD), member 3","protein_coding","1","1:p21.3",94883933,94984222
"ENSG00000119688","ABCD4","ATP-binding cassette, sub-family D (ALD), member 4","protein_coding","14","14:q24.3",74752126,74769759
"ENSG00000164163","ABCE1","ATP-binding cassette, sub-family E (OABP), member 1","protein_coding","4","4:q31.21",146019084,146050331
"ENSG00000204574","ABCF1","ATP-binding cassette, sub-family F (GCN20), member 1","protein_coding","6","6:p21.33",30539153,30564956
"ENSG00000033050","ABCF2","ATP-binding cassette, sub-family F (GCN20), member 2","protein_coding","7","7:q36.1",150904923,150924316
"ENSG00000161204","ABCF3","ATP-binding cassette, sub-family F (GCN20), member 3","protein_coding","3","3:q27.1",183903811,183911800
"ENSG00000160179","ABCG1","ATP-binding cassette, sub-family G (WHITE), member 1","protein_coding","21","21:q22.3",43619799,43717354
"ENSG00000118777","ABCG2","ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)","protein_coding","4","4:q22.1",89011416,89152474
"ENSG00000172350","ABCG4","ATP-binding cassette, sub-family G (WHITE), member 4","protein_coding","11","11:q23.3",119019722,119033360
"ENSG00000138075","ABCG5","ATP-binding cassette, sub-family G (WHITE), member 5","protein_coding","2","2:p21",44039611,44066004
"ENSG00000143921","ABCG8","ATP-binding cassette, sub-family G (WHITE), member 8","protein_coding","2","2:p21",44066103,44105605
"ENSG00000143994","ABHD1","abhydrolase domain containing 1","protein_coding","2","2:p23.3",27346682,27353680
"ENSG00000144827","ABHD10","abhydrolase domain containing 10","protein_coding","3","3:q13.2",111697857,111712210
"ENSG00000106077","ABHD11","abhydrolase domain containing 11","protein_coding","7","7:q11.23",73150424,73153197
"ENSG00000100997","ABHD12","abhydrolase domain containing 12","protein_coding","20","20:p11.21",25275379,25371619
"ENSG00000131969","ABHD12B","abhydrolase domain containing 12B","protein_coding","14","14:q22.1",51338878,51371688
"ENSG00000139826","ABHD13","abhydrolase domain containing 13","protein_coding","13","13:q33.3",108870727,108886603
"ENSG00000248487","ABHD14A","abhydrolase domain containing 14A","protein_coding","3","3:p21.2",52005442,52015212
"ENSG00000114786","ABHD14A-ACY1","ABHD14A-ACY1 readthrough (NMD candidate)","protein_coding","3","3:p21.2",52009066,52023199
"ENSG00000114779","ABHD14B","abhydrolase domain containing 14B","protein_coding","3","3:p21.2",52002526,52017425
"ENSG00000168792","ABHD15","abhydrolase domain containing 15","protein_coding","17","17:q11.2",27887565,27894155
"ENSG00000204427","ABHD16A","abhydrolase domain containing 16A","protein_coding","6","6:p21.33",31654726,31671221
"ENSG00000183260","ABHD16B","abhydrolase domain containing 16B","protein_coding","20","20:q13.33",62492566,62494341
"ENSG00000129968","ABHD17A","abhydrolase domain containing 17A","protein_coding","19","19:p13.3",1876809,1885546
"ENSG00000107362","ABHD17B","abhydrolase domain containing 17B","protein_coding","9","9:q21.13",74477368,74525847
"ENSG00000136379","ABHD17C","abhydrolase domain containing 17C","protein_coding","15","15:q25.1",80972025,81047962
"ENSG00000140526","ABHD2","abhydrolase domain containing 2","protein_coding","15","15:q26.1",89630690,89745591
"ENSG00000158201","ABHD3","abhydrolase domain containing 3","protein_coding","18","18:q11.2",19230858,19284766
"ENSG00000100439","ABHD4","abhydrolase domain containing 4","protein_coding","14","14:q11.2",23067146,23081265
"ENSG00000011198","ABHD5","abhydrolase domain containing 5","protein_coding","3","3:p21.33",43731605,43775863
"ENSG00000163686","ABHD6","abhydrolase domain containing 6","protein_coding","3","3:p14.3",58223233,58281420
"ENSG00000127220","ABHD8","abhydrolase domain containing 8","protein_coding","19","19:p13.11",17402940,17421045
"ENSG00000136754","ABI1","abl-interactor 1","protein_coding","10","10:p12.1",27035522,27150016
"ENSG00000138443","ABI2","abl-interactor 2","protein_coding","2","2:q33.2",204192942,204312446
"ENSG00000108798","ABI3","ABI family, member 3","protein_coding","17","17:q21.32",47287589,47300587
"ENSG00000154175","ABI3BP","ABI family, member 3 (NESH) binding protein","protein_coding","3","3:q12.2",100468000,100712359
"ENSG00000097007","ABL1","ABL proto-oncogene 1, non-receptor tyrosine kinase","protein_coding","9","9:q34.12",133589333,133763062
"ENSG00000143322","ABL2","ABL proto-oncogene 2, non-receptor tyrosine kinase","protein_coding","1","1:q25.2",179068462,179198819
"ENSG00000099204","ABLIM1","actin binding LIM protein 1","protein_coding","10","10:q25.3",116190872,116444762
"ENSG00000163995","ABLIM2","actin binding LIM protein family, member 2","protein_coding","4","4:p16.1",7967039,8160559
"ENSG00000173210","ABLIM3","actin binding LIM protein family, member 3","protein_coding","5","5:q32",148521046,148640105
"ENSG00000159842","ABR","active BCR-related","protein_coding","17","17:p13.3",906758,1132315
"ENSG00000174429","ABRA","actin-binding Rho activating protein","protein_coding","8","8:q23.1",107771711,107782473
"ENSG00000146386","ABRACL","ABRA C-terminal like","protein_coding","6","6:q24.1",139349819,139364439
"ENSG00000146109","ABT1","activator of basal transcription 1","protein_coding","6","6:p22.2",26597180,26600278
"ENSG00000114626","ABTB1","ankyrin repeat and BTB (POZ) domain containing 1","protein_coding","3","3:q21.3",127391778,127399768
"ENSG00000166016","ABTB2","ankyrin repeat and BTB (POZ) domain containing 2","protein_coding","11","11:p13",34172535,34379555
"ENSG00000060971","ACAA1","acetyl-CoA acyltransferase 1","protein_coding","3","3:p22.2",38144620,38178733
"ENSG00000167315","ACAA2","acetyl-CoA acyltransferase 2","protein_coding","18","18:q21.1",47309869,47340330
"ENSG00000076555","ACACB","acetyl-CoA carboxylase beta","protein_coding","12","12:q24.11",109554400,109706031
"ENSG00000111271","ACAD10","acyl-CoA dehydrogenase family, member 10","protein_coding","12","12:q24.12",112123857,112194903
"ENSG00000240303","ACAD11","acyl-CoA dehydrogenase family, member 11","protein_coding","3","3:q22.1",132276982,132379567
"ENSG00000151498","ACAD8","acyl-CoA dehydrogenase family, member 8","protein_coding","11","11:q25",134123389,134135749
"ENSG00000177646","ACAD9","acyl-CoA dehydrogenase family, member 9","protein_coding","3","3:q21.3",128598439,128634910
"ENSG00000115361","ACADL","acyl-CoA dehydrogenase, long chain","protein_coding","2","2:q34",211052663,211090215
"ENSG00000117054","ACADM","acyl-CoA dehydrogenase, C-4 to C-12 straight chain","protein_coding","1","1:p31.1",76190036,76253260
"ENSG00000122971","ACADS","acyl-CoA dehydrogenase, C-2 to C-3 short chain","protein_coding","12","12:q24.31",121163538,121177811
"ENSG00000196177","ACADSB","acyl-CoA dehydrogenase, short/branched chain","protein_coding","10","10:q26.13",124768495,124817827
"ENSG00000072778","ACADVL","acyl-CoA dehydrogenase, very long chain","protein_coding","17","17:p13.1",7120444,7128592
"ENSG00000157766","ACAN","aggrecan","protein_coding","15","15:q26.1",89346674,89418585
"ENSG00000072818","ACAP1","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1","protein_coding","17","17:p13.1",7239848,7254797
"ENSG00000114331","ACAP2","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2","protein_coding","3","3:q29",194995465,195163807
"ENSG00000131584","ACAP3","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3","protein_coding","1","1:p36.33",1227756,1244989
"ENSG00000075239","ACAT1","acetyl-CoA acetyltransferase 1","protein_coding","11","11:q22.3",107992243,108018503
"ENSG00000120437","ACAT2","acetyl-CoA acetyltransferase 2","protein_coding","6","6:q25.3",160181360,160200144
"ENSG00000182827","ACBD3","acyl-CoA binding domain containing 3","protein_coding","1","1:q42.12",226332380,226374431
"ENSG00000181513","ACBD4","acyl-CoA binding domain containing 4","protein_coding","17","17:q21.31",43209967,43221548
"ENSG00000107897","ACBD5","acyl-CoA binding domain containing 5","protein_coding","10","10:p12.1",27484146,27531059
"ENSG00000176244","ACBD7","acyl-CoA binding domain containing 7","protein_coding","10","10:p13",15119522,15130775
"ENSG00000110455","ACCS","1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)","protein_coding","11","11:p11.2",44087475,44105772
"ENSG00000205126","ACCSL","1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like","protein_coding","11","11:p11.2",44069531,44081527
"ENSG00000102977","ACD","adrenocortical dysplasia homolog (mouse)","protein_coding","16","16:q22.1",67691415,67694713
"ENSG00000159640","ACE","angiotensin I converting enzyme","protein_coding","17","17:q23.3",61562184,61599209
"ENSG00000130234","ACE2","angiotensin I converting enzyme 2","protein_coding","X","X:p22.2",15579156,15620271
"ENSG00000167769","ACER1","alkaline ceramidase 1","protein_coding","19","19:p13.3",6306153,6333640
"ENSG00000177076","ACER2","alkaline ceramidase 2","protein_coding","9","9:p22.1",19408925,19452018
"ENSG00000078124","ACER3","alkaline ceramidase 3","protein_coding","11","11:q13.5",76571911,76737841
"ENSG00000087085","ACHE","acetylcholinesterase (Yt blood group)","protein_coding","7","7:q22.1",100487615,100494594
"ENSG00000100813","ACIN1","apoptotic chromatin condensation inducer 1","protein_coding","14","14:q11.2",23527773,23564823
"ENSG00000144648","ACKR2","atypical chemokine receptor 2","protein_coding","3","3:p22.1",42846244,42929466
"ENSG00000144476","ACKR3","atypical chemokine receptor 3","protein_coding","2","2:q37.3",237476430,237491001
"ENSG00000129048","ACKR4","atypical chemokine receptor 4","protein_coding","3","3:q22.1",132316081,132337811
"ENSG00000131473","ACLY","ATP citrate lyase","protein_coding","17","17:q21.2",40023161,40086795
"ENSG00000153086","ACMSD","aminocarboxymuconate semialdehyde decarboxylase","protein_coding","2","2:q21.3",135596117,135659604
"ENSG00000122729","ACO1","aconitase 1, soluble","protein_coding","9","9:p21.1",32384618,32454767
"ENSG00000100412","ACO2","aconitase 2, mitochondrial","protein_coding","22","22:q13.2",41865129,41924993
"ENSG00000184227","ACOT1","acyl-CoA thioesterase 1","protein_coding","14","14:q24.3",74003818,74010498
"ENSG00000162390","ACOT11","acyl-CoA thioesterase 11","protein_coding","1","1:p32.3",55007930,55104865
"ENSG00000172497","ACOT12","acyl-CoA thioesterase 12","protein_coding","5","5:q14.1",80625824,80689998
"ENSG00000112304","ACOT13","acyl-CoA thioesterase 13","protein_coding","6","6:p22.3",24667263,24705293
"ENSG00000119673","ACOT2","acyl-CoA thioesterase 2","protein_coding","14","14:q24.3",74034324,74042357
"ENSG00000177465","ACOT4","acyl-CoA thioesterase 4","protein_coding","14","14:q24.3",74058410,74063200
"ENSG00000205669","ACOT6","acyl-CoA thioesterase 6","protein_coding","14","14:q24.3",74077649,74086592
"ENSG00000097021","ACOT7","acyl-CoA thioesterase 7","protein_coding","1","1:p36.31",6324329,6454451
"ENSG00000101473","ACOT8","acyl-CoA thioesterase 8","protein_coding","20","20:q13.12",44470360,44486045
"ENSG00000123130","ACOT9","acyl-CoA thioesterase 9","protein_coding","X","X:p22.11",23720370,23784592
"ENSG00000161533","ACOX1","acyl-CoA oxidase 1, palmitoyl","protein_coding","17","17:q25.1",73937588,73975515
"ENSG00000168306","ACOX2","acyl-CoA oxidase 2, branched chain","protein_coding","3","3:p14.3",58490863,58523046
"ENSG00000087008","ACOX3","acyl-CoA oxidase 3, pristanoyl","protein_coding","4","4:p16.1",8368009,8442450
"ENSG00000153093","ACOXL","acyl-CoA oxidase-like","protein_coding","2","2:q13",111490150,111875799
"ENSG00000143727","ACP1","acid phosphatase 1, soluble","protein_coding","2","2:p25.3",264140,278283
"ENSG00000134575","ACP2","acid phosphatase 2, lysosomal","protein_coding","11","11:p11.2",47260853,47270457
"ENSG00000102575","ACP5","acid phosphatase 5, tartrate resistant","protein_coding","19","19:p13.2",11685475,11689823
"ENSG00000162836","ACP6","acid phosphatase 6, lysophosphatidic","protein_coding","1","1:q21.2",147101453,147142618
"ENSG00000014257","ACPP","acid phosphatase, prostate","protein_coding","3","3:q22.1",132036211,132087142
"ENSG00000142513","ACPT","acid phosphatase, testicular","protein_coding","19","19:q13.33",51293672,51298481
"ENSG00000100312","ACR","acrosin","protein_coding","22","22:q13.33",51176624,51183762
"ENSG00000111644","ACRBP","acrosin binding protein","protein_coding","12","12:p13.31",6747241,6756626
"ENSG00000147174","ACRC","acidic repeat containing","protein_coding","X","X:q13.1",70798261,70833433
"ENSG00000134940","ACRV1","acrosomal vesicle protein 1","protein_coding","11","11:q24.2",125541417,125551018
"ENSG00000103740","ACSBG1","acyl-CoA synthetase bubblegum family member 1","protein_coding","15","15:q25.1",78459810,78538030
"ENSG00000130377","ACSBG2","acyl-CoA synthetase bubblegum family member 2","protein_coding","19","19:p13.3",6135258,6193112
"ENSG00000167107","ACSF2","acyl-CoA synthetase family member 2","protein_coding","17","17:q21.33",48503519,48552206
"ENSG00000176715","ACSF3","acyl-CoA synthetase family member 3","protein_coding","16","16:q24.3",89154783,89222254
"ENSG00000151726","ACSL1","acyl-CoA synthetase long-chain family member 1","protein_coding","4","4:q35.1",185676749,185747972
"ENSG00000123983","ACSL3","acyl-CoA synthetase long-chain family member 3","protein_coding","2","2:q36.1",223725652,223809357
"ENSG00000068366","ACSL4","acyl-CoA synthetase long-chain family member 4","protein_coding","X","X:q23",108867473,108976632
"ENSG00000197142","ACSL5","acyl-CoA synthetase long-chain family member 5","protein_coding","10","10:q25.2",114133776,114188138
"ENSG00000164398","ACSL6","acyl-CoA synthetase long-chain family member 6","protein_coding","5","5:q31.1",131142683,131347936
"ENSG00000166743","ACSM1","acyl-CoA synthetase medium-chain family member 1","protein_coding","16","16:p12.3",20634559,20710212
"ENSG00000183747","ACSM2A","acyl-CoA synthetase medium-chain family member 2A","protein_coding","16","16:p12.3",20462783,20498991
"ENSG00000066813","ACSM2B","acyl-CoA synthetase medium-chain family member 2B","protein_coding","16","16:p12.3",20547548,20587749
"ENSG00000005187","ACSM3","acyl-CoA synthetase medium-chain family member 3","protein_coding","16","16:p12.3",20621565,20808903
"ENSG00000215009","ACSM4","acyl-CoA synthetase medium-chain family member 4","protein_coding","12","12:p13.31",7456880,7481320
"ENSG00000183549","ACSM5","acyl-CoA synthetase medium-chain family member 5","protein_coding","16","16:p12.3",20420856,20452658
"ENSG00000154930","ACSS1","acyl-CoA synthetase short-chain family member 1","protein_coding","20","20:p11.21",24986868,25039616
"ENSG00000131069","ACSS2","acyl-CoA synthetase short-chain family member 2","protein_coding","20","20:q11.22",33459949,33515769
"ENSG00000111058","ACSS3","acyl-CoA synthetase short-chain family member 3","protein_coding","12","12:q21.31",81331594,81650533
"ENSG00000143632","ACTA1","actin, alpha 1, skeletal muscle","protein_coding","1","1:q42.13",229566992,229569845
"ENSG00000107796","ACTA2","actin, alpha 2, smooth muscle, aorta","protein_coding","10","10:q23.31",90694831,90751147
"ENSG00000075624","ACTB","actin, beta","protein_coding","7","7:p22.1",5566782,5603415
"ENSG00000169067","ACTBL2","actin, beta-like 2","protein_coding","5","5:q11.2",56775846,56778636
"ENSG00000159251","ACTC1","actin, alpha, cardiac muscle 1","protein_coding","15","15:q14",35080297,35088340
"ENSG00000184009","ACTG1","actin gamma 1","protein_coding","17","17:q25.3",79476997,79490873
"ENSG00000163017","ACTG2","actin, gamma 2, smooth muscle, enteric","protein_coding","2","2:p13.1",74119441,74146992
"ENSG00000182584","ACTL10","actin-like 10","protein_coding","20","20:q11.22",32254304,32256331
"ENSG00000136518","ACTL6A","actin-like 6A","protein_coding","3","3:q26.33",179280668,179306196
"ENSG00000077080","ACTL6B","actin-like 6B","protein_coding","7","7:q22.1",100240720,100254084
"ENSG00000187003","ACTL7A","actin-like 7A","protein_coding","9","9:q31.3",111624603,111626035
"ENSG00000148156","ACTL7B","actin-like 7B","protein_coding","9","9:q31.3",111616871,111619239
"ENSG00000117148","ACTL8","actin-like 8","protein_coding","1","1:p36.13",18081808,18153558
"ENSG00000181786","ACTL9","actin-like 9","protein_coding","19","19:p13.2",8807751,8809172
"ENSG00000072110","ACTN1","actinin, alpha 1","protein_coding","14","14:q24.1",69340860,69446157
"ENSG00000077522","ACTN2","actinin, alpha 2","protein_coding","1","1:q43",236849754,236927931
"ENSG00000130402","ACTN4","actinin, alpha 4","protein_coding","19","19:q13.2",39138289,39222223
"ENSG00000131966","ACTR10","actin-related protein 10 homolog (S. cerevisiae)","protein_coding","14","14:q23.1",58666798,58701750
"ENSG00000138107","ACTR1A","ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)","protein_coding","10","10:q24.32",104238986,104262482
"ENSG00000115073","ACTR1B","ARP1 actin-related protein 1 homolog B, centractin beta (yeast)","protein_coding","2","2:q11.2",98272431,98280570
"ENSG00000138071","ACTR2","ARP2 actin-related protein 2 homolog (yeast)","protein_coding","2","2:p14",65454887,65498387
"ENSG00000115091","ACTR3","ARP3 actin-related protein 3 homolog (yeast)","protein_coding","2","2:q14.1",114647537,114720173
"ENSG00000133627","ACTR3B","ARP3 actin-related protein 3 homolog B (yeast)","protein_coding","7","7:q36.1",152456834,152552463
"ENSG00000106526","ACTR3C","ARP3 actin-related protein 3 homolog C (yeast)","protein_coding","7","7:q36.1",149941005,150020814
"ENSG00000101442","ACTR5","ARP5 actin-related protein 5 homolog (yeast)","protein_coding","20","20:q11.23",37377085,37400834
"ENSG00000075089","ACTR6","ARP6 actin-related protein 6 homolog (yeast)","protein_coding","12","12:q23.1",100592900,100635643
"ENSG00000113812","ACTR8","ARP8 actin-related protein 8 homolog (yeast)","protein_coding","3","3:p21.1",53901093,53916229
"ENSG00000123165","ACTRT1","actin-related protein T1","protein_coding","X","X:q25",127184943,127186382
"ENSG00000169717","ACTRT2","actin-related protein T2","protein_coding","1","1:p36.32",2938046,2939465
"ENSG00000184378","ACTRT3","actin-related protein T3","protein_coding","3","3:q26.2",169484709,169487683
"ENSG00000115170","ACVR1","activin A receptor, type I","protein_coding","2","2:q24.1",158592958,158732374
"ENSG00000135503","ACVR1B","activin A receptor, type IB","protein_coding","12","12:q13.13",52345451,52390862
"ENSG00000123612","ACVR1C","activin A receptor, type IC","protein_coding","2","2:q24.1",158383279,158485517
"ENSG00000121989","ACVR2A","activin A receptor, type IIA","protein_coding","2","2:q22.3",148602086,148688393
"ENSG00000114739","ACVR2B","activin A receptor, type IIB","protein_coding","3","3:p22.2",38495342,38534633
"ENSG00000139567","ACVRL1","activin A receptor type II-like 1","protein_coding","12","12:q13.13",52300692,52317145
"ENSG00000243989","ACY1","aminoacylase 1","protein_coding","3","3:p21.2",52009066,52023213
"ENSG00000132744","ACY3","aminoacylase 3","protein_coding","11","11:q13.2",67410026,67418130
"ENSG00000119640","ACYP1","acylphosphatase 1, erythrocyte (common) type","protein_coding","14","14:q24.3",75519924,75536186
"ENSG00000170634","ACYP2","acylphosphatase 2, muscle type","protein_coding","2","2:p16.2",54197975,54532437
"ENSG00000196839","ADA","adenosine deaminase","protein_coding","20","20:q13.12",43248163,43280874
"ENSG00000164113","ADAD1","adenosine deaminase domain containing 1 (testis-specific)","protein_coding","4","4:q27",123300121,123350957
"ENSG00000140955","ADAD2","adenosine deaminase domain containing 2","protein_coding","16","16:q24.1",84224744,84230774
"ENSG00000168803","ADAL","adenosine deaminase-like","protein_coding","15","15:q15.3",43622872,43646096
"ENSG00000137845","ADAM10","ADAM metallopeptidase domain 10","protein_coding","15","15:q21.3",58887403,59042177
"ENSG00000073670","ADAM11","ADAM metallopeptidase domain 11","protein_coding","17","17:q21.31",42836399,42859214
"ENSG00000148848","ADAM12","ADAM metallopeptidase domain 12","protein_coding","10","10:q26.2",127700950,128077024
"ENSG00000143537","ADAM15","ADAM metallopeptidase domain 15","protein_coding","1","1:q22",155023042,155035252
"ENSG00000151694","ADAM17","ADAM metallopeptidase domain 17","protein_coding","2","2:p25.1",9628615,9695921
"ENSG00000168619","ADAM18","ADAM metallopeptidase domain 18","protein_coding","8","8:p11.22",39442008,39587583
"ENSG00000135074","ADAM19","ADAM metallopeptidase domain 19","protein_coding","5","5:q33.3",156822542,157002783
